1. I am organized when I study.,2. I prefer to do study activities in a group.,3. I only study out of obligation.,4. I usually study consistently.,5. I prefer to study alone.,6. I enjoy studying.,7. I study only to pass the school year.,8. I learn better when studying the subject content with other people.,9. I learn more about the subject when I help my classmates study.,10. I like studying both in a group and alone.,11. In the classroom I work better alone.,12. I only study the day before the exam.
Neutral,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral
Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Neutral
Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree
Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree
Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree
Agree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree
Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral
Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Agree
Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree
Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral
Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Neutral
Agree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Disagree
Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Neutral
Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree
Neutral,Disagree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree
Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Agree
Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral
Agree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral
Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Agree
Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree
Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral
Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Neutral
Neutral,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Neutral
Agree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Disagree,Disagree
Disagree,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Agree
Neutral,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral
Agree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree
Agree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Neutral,Neutral
Disagree,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Agree
Agree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree
Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Agree
Agree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree
Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral
Disagree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral
Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Neutral
Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree
Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Neutral
Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree
Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Agree
Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Disagree
Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral
Agree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral
Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Agree
Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree
Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Agree
Neutral,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree
Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree
Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Agree
Neutral,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree
Agree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree
Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree
Neutral,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree
Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree
Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral
Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Neutral
Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral
Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral
Neutral,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree
Agree,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral
Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Neutral
Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral
Neutral,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral
Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Agree
Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral
Agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Disagree
Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Agree
Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral
Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree
Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral
Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Agree
Agree,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree
Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree
Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral
Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Neutral
Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree
Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Neutral
Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Agree,Neutral
Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree
Agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Neutral
Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral
Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree
Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree
Disagree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Disagree
Disagree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Agree
Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral
Neutral,Agree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree
Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Neutral
Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral
Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral
Neutral,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Agree
Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree
Disagree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Neutral
Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree
Agree,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree
Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Neutral
Agree,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree
Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral
Disagree,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Neutral
Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree
Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree
Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Agree
Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral
Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree
Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree
Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral
Neutral,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree
Agree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Neutral
Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Disagree
Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Agree
Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Neutral
Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral
Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Agree
Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neutral
Agree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Neutral,Neutral
Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral
Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Agree
Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral
Disagree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Disagree
Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree
Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Agree
Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Neutral
Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree
Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral
Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Agree
Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Agree
Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree
Agree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Agree,Neutral,Neutral
Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Agree
Neutral,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree
Agree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree
Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree
Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree
Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Disagree
Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral
Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral
Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree
Agree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Agree,Neutral,Disagree
Neutral,Agree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral
Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Neutral
Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree
Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Disagree
Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral
Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Neutral
Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Neutral
Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Agree
Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Neutral
Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral
Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Disagree
Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Neutral
Agree,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Disagree
Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Agree
Neutral,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Agree
Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Neutral
Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Neutral
Neutral,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Neutral
Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral
Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree
Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Disagree
Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Disagree,Agree
Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral
Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Neutral
Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Neutral
Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Agree
Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Agree
Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Agree
Agree,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral
Agree,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Neutral
Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Disagree
Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Agree
Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Agree
Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral
Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Neutral
Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree
Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Neutral
Agree,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Disagree
Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Agree
Neutral,Agree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral
Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Agree
Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Agree
Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree
Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree
Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral
Neutral,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree
Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral
Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Neutral
Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Agree
Agree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Agree
Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree
Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree
Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Agree
Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree
Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral
Disagree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Agree
Disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Neutral
Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Agree
Agree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Neutral
Disagree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Agree
Agree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral
Agree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Neutral
Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Agree
Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree
Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Agree
Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Neutral
Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree
